,Latitude,Longitude,price
0,37.7541839478958,-122.4065137873994,49.0
1,37.75416620694072,-122.42153361123903,220.0
2,37.758505841987684,-122.40615234615572,100.0
3,37.75654875319113,-122.42202512272395,117.0
4,37.76005055162609,-122.42135244186619,200.0
5,37.759494875174084,-122.42487369983884,162.0
6,37.76099686978345,-122.41312370743405,230.0
7,37.75054282250833,-122.41655854238532,173.0
8,37.75628817825092,-122.40873765927407,600.0
9,37.757246417145325,-122.40931471446184,250.0
10,37.74932934983145,-122.41079246439557,300.0
11,37.75135310287518,-122.41765884005434,189.0
12,37.751992462976204,-122.40421045324041,130.0
13,37.76142933262309,-122.41935005071524,90.0
14,37.766520788195436,-122.4246600892409,95.0
15,37.7599551383521,-122.42410641814496,325.0
16,37.758701665232124,-122.42124003051889,119.0
17,37.76147948623888,-122.41571353188468,134.0
18,37.75939066340097,-122.42116735753424,490.0
19,37.749617823996026,-122.41813141973981,140.0
20,37.759585813647796,-122.41000109683404,185.0
21,37.75560550525029,-122.40671929926322,550.0
22,37.75052129599319,-122.40735678108761,113.0
23,37.76832742785573,-122.42505707071774,115.0
24,37.768887191674914,-122.42405987916307,155.0
25,37.7513430565728,-122.42265006283215,45.0
26,37.755069551371655,-122.41681709924057,169.0
27,37.76220649847767,-122.41989540417708,186.0
28,37.75385200146517,-122.41115766043127,77.0
29,37.76251893043086,-122.42428458725807,250.0
30,37.76531006688854,-122.42469052470317,235.0
31,37.76362665987909,-122.42538534156691,80.0
32,37.768140604349085,-122.42536756459259,300.0
33,37.758667648515726,-122.42387997289718,200.0
34,37.7614820537443,-122.40925392305105,200.0
35,37.75399608902932,-122.41770632143597,125.0
36,37.75328433021465,-122.41185789807965,40.0
37,37.7502826091409,-122.41561941732043,500.0
38,37.758131816496665,-122.41411774554673,79.0
39,37.75754497349558,-122.42012521957733,115.0
40,37.76249604814942,-122.42260295756658,575.0
41,37.75804240295867,-122.4211010638363,65.0
42,37.75788359494436,-122.40753054788262,2000.0
43,37.75456441477415,-122.41252638760093,51.0
44,37.75239754472986,-122.4244804001435,159.0
45,37.76911000754381,-122.41193446152617,120.0
46,37.76862344492925,-122.42443655528706,100.0
47,37.760662031470986,-122.4208267688101,50.0
48,37.75826017666809,-122.40833040110529,80.0
49,37.755961358466145,-122.40953015706769,75.0
50,37.75942336176793,-122.407542379533,155.0
51,37.75993231387472,-122.4213666919081,250.0
52,37.77021194835183,-122.42289864996941,55.0
53,37.75065685054285,-122.4234918406435,450.0
54,37.74944921910473,-122.40955555582333,250.0
55,37.75375109050484,-122.42520109079176,150.0
56,37.756415424257035,-122.41285126596114,300.0
57,37.76772248809533,-122.4221520406975,170.0
58,37.75151485225926,-122.42450179888883,190.0
59,37.754400534358474,-122.41250701086649,230.0
